document_id,candidate,party,office,state,source_url,filename,original_filename,download_date,dataset_ver
PRES_01,Samara,UP,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,2026BR280002538811_01.pdf,2026BR280002538811_01.pdf,09/09/2026,1
PRES_02,Romeu Zema,NOVO,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,2026BR280002539826_01.pdf,2026BR280002539826_01.pdf,09/09/2026,1
PRES_03,Renan Santos,MISSÃO,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,2026BR280002540694_01.pdf,2026BR280002540694_01.pdf,09/09/2026,1
PRES_04,Hertz Dias,PSTU,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,2026BR280002541457_01.pdf,2026BR280002541457_01.pdf,09/09/2026,1
PRES_05,Lula,PT,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,"2026BR280002542548_01,pdf","2026BR280002542548_01,pdf",09/09/2026,1
PRES_06,Wilson Grassi,DEMOCRATA,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,2026BR280002548139_01.pdf,2026BR280002548139_01.pdf,09/09/2026,1
PRES_07,Flávio Bolsonaro,PL,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,2026BR280002551544_01.pdf,2026BR280002551544_01.pdf,09/09/2026,1
PRES_08,Augusto Cury,AVANTE,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,2026BR280002551547_01.pdf,2026BR280002551547_01.pdf,09/09/2026,1
PRES_09,Ronaldo Caiado,PSD,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,2026BR280002551932_01.pdf,2026BR280002551932_01.pdf,09/09/2026,1
PRES_10,Edmilson Costa,PCB,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,2026BR280002551975_01.pdf,2026BR280002551975_01.pdf,09/09/2026,1
PRES_11,NULL,NULL,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,2026BR280002552484_01.pdf,2026BR280002552484_01.pdf,09/09/2026,1
PRES_12,Rui Costa Pimenta,PCO,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,2026BR280002552487_01.pdf,2026BR280002552487_01.pdf,09/09/2026,1
PRES_13,Pablo Marçal,PRTB,PRESIDENTE,BR,https://cdn.tse.jus.br/estatistica/sead/odsele/proposta_governo/proposta_governo_2026_BR.zip,2026BR280002553884_01.pdf,2026BR280002553884_01.pdf,09/09/2026,1
